instance_number,instance,number_of_machines,number_of_orders,number_of_workers,alpha,lower_bound,Tc,Tcry,q,IT,gha_gap,gha_obj,sa_Gap,sa_obj,sa_Time
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.9,100,9.356634288831115,695.12,9.357,695.12,0.714
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.9,100,9.356634288831115,695.12,9.357,695.12,1.249
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.95,50,9.356634288831115,695.12,9.357,695.12,1.281
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.95,50,9.356634288831115,695.12,9.357,695.12,0.755
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.95,50,9.356634288831115,695.12,9.357,695.12,0.686
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.95,50,9.356634288831115,695.12,9.357,695.12,0.69
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.95,50,9.356634288831115,695.12,9.357,695.12,0.687
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.95,100,9.356634288831115,695.12,9.357,695.12,1.389
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.95,100,9.356634288831115,695.12,9.357,695.12,1.389
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.95,100,9.356634288831115,695.12,9.357,695.12,1.317
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.95,100,9.356634288831115,695.12,9.357,695.12,1.313
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.95,100,9.356634288831115,695.12,9.357,695.12,1.36
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,500,1,0.9,50,9.356634288831115,695.12,9.357,695.12,1.095
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,500,1,0.9,50,9.356634288831115,695.12,9.357,695.12,1.711
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,500,1,0.9,50,9.356634288831115,695.12,9.357,695.12,1.186
